[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [RFNOC::GRAPH] One or more blocks timed out during flush!
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
D[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 304] d0=4113972 pm=2184 slots=880000 (4019s)
[cap 305] d0=4111049 pm=2313 slots=880000 (4029s)
[cap 306] d0=4113954 pm=2021 slots=880000 (4039s)
[cap 307] d0=4123595 pm=1796 slots=880000 (4049s)
[cap 308] d0=4095957 pm=1799 slots=880000 (4060s)
[cap 309] d0=4085780 pm=1918 slots=880000 (4070s)
[cap 310] d0=4096301 pm=1786 slots=880000 (4080s)
[cap 311] d0=4130425 pm=1851 slots=880000 (4090s)
[cap 312] d0=4107005 pm=1931 slots=880000 (4101s)
[cap 313] d0=4088314 pm=1757 slots=880000 (4111s)
[cap 314] d0=4117570 pm=2119 slots=880000 (4121s)
[cap 315] d0=4110086 pm=2287 slots=880000 (4131s)
[cap 316] d0=4131846 pm=2204 slots=880000 (4142s)
[cap 317] d0=4105805 pm=2235 slots=880000 (4152s)
[cap 318] d0=4085684 pm=2015 slots=880000 (4162s)
[cap 319] d0=4108993 pm=2245 slots=880000 (4172s)
[cap 320] d0=4134793 pm=2261 slots=880000 (4182s)
[cap 321] d0=4118319 pm=1919 slots=880000 (4193s)
[cap 322] d0=4117586 pm=2082 slots=880000 (4203s)
[cap 323] d0=4087605 pm=2470 slots=880000 (4213s)
[cap 324] d0=4130775 pm=1828 slots=880000 (4223s)
[cap 325] d0=4086675 pm=1992 slots=880000 (4234s)
