# energy per real MAC (J/MAC); see METHODS.md
N,e_ip_total,e1_waveform,e2_adc,e3_digital
3574.44,1.513562e-15,5.343886e-16,4.196458e-16,5.595277e-16
3623.18,1.500391e-15,5.343886e-16,4.140012e-16,5.520016e-16
3672.58,1.487398e-15,5.343886e-16,4.084325e-16,5.445767e-16
3722.65,1.474579e-15,5.343886e-16,4.029388e-16,5.372517e-16
3773.41,1.461933e-15,5.343886e-16,3.975189e-16,5.300252e-16
3824.85,1.449457e-15,5.343886e-16,3.921720e-16,5.228959e-16
3877,1.437148e-15,5.343886e-16,3.868969e-16,5.158625e-16
3929.86,1.425005e-15,5.343886e-16,3.816928e-16,5.089238e-16
3983.44,1.413026e-15,5.343886e-16,3.765587e-16,5.020783e-16
4037.75,1.401207e-15,5.343886e-16,3.714937e-16,4.953249e-16
4092.81,1.389548e-15,5.343886e-16,3.664968e-16,4.886624e-16
4148.61,1.378045e-15,5.343886e-16,3.615671e-16,4.820895e-16
4205.17,1.366697e-15,5.343886e-16,3.567037e-16,4.756050e-16
4262.5,1.355502e-15,5.343886e-16,3.519058e-16,4.692077e-16
4320.62,1.344457e-15,5.343886e-16,3.471724e-16,4.628965e-16
4379.53,1.333561e-15,5.343886e-16,3.425026e-16,4.566701e-16
4439.24,1.322812e-15,5.343886e-16,3.378956e-16,4.505275e-16
4499.77,1.312207e-15,5.343886e-16,3.333507e-16,4.444676e-16
4561.12,1.301745e-15,5.343886e-16,3.288668e-16,4.384891e-16
4623.3,1.291423e-15,5.343886e-16,3.244433e-16,4.325911e-16
